1,pbkdf2_sha256$320000$WpVTno0rqloy4wq8dbQZWh$BegNI/q5mE9kG0MKydZWjcQNMUv6prqa/dwOZlnvoUM=,,1,admin,"",admin@example.com,1,1,2022-04-10 18:54:54.014513,""
2,pbkdf2_sha256$320000$HjyVmaVrWHqdjRYLD1KREy$aHuajYO8DDwT32ULPKj8XuSgAl0x7FlFdKJg+zgCbYI=,,0,victor,Lawrence,victor@bbltestdjango.com,0,1,2022-04-10 18:56:10.552959,Victor
3,pbkdf2_sha256$320000$ynyHk75BaC7Fcp0GmuQnpu$xMYojqScE04nW3mWx+2SLhgT0x7B5JUNtgcuaXEndrg=,,0,John,Doe,john@bbltestdjango.com,0,1,2022-04-10 19:16:12.619997,John
4,pbkdf2_sha256$320000$5P9FY4OiFtVXKrPkMfrFJh$ZBDF71bY+7LiVJ96KT7gG/IKjZB8Ytkp3shX/kQEd8Y=,,0,Mike,Doe,mike@bbltestdjango.com,0,1,2022-04-10 19:25:25.240761,Mike
5,pbkdf2_sha256$320000$qQu8NoYhx4ZYzqsdWgq2Dq$QayNR9qMpOw7LDCJbFEDjUlfEayHISNJMOwQPRtCRkY=,,0,alex,Law,alex@bbltestdjango.com,0,1,2022-04-10 19:25:50.086715,Alex
6,pbkdf2_sha256$320000$IO4hlWD486sE9IehfziuWl$MWcDoOoEqcEfVAeem+GyaJtyIZgvCprHAj7lvk2qJGc=,,0,Peter,Collins,peter@bbltestdjango.com,0,1,2022-04-10 19:26:08.794006,Peter
7,pbkdf2_sha256$320000$ZSxuAdPyfTDbfZPAVqZcEW$VPbrj0TV5m+AGR5qoB53uyzk/BXowTbWMw3iMYdP+vg=,,0,Kane,Willy,kane@bbltestdjango.com,0,1,2022-04-10 19:26:33.998262,Kane
8,pbkdf2_sha256$320000$oirtJGTt0LjgT1PnPnWqQD$xKV2pSDl4YNfzrO/ASp1PKbhaovrolkPvhmNp+tyU7Q=,,0,pat,Willy,pat@bbltestdjango.com,0,1,2022-04-10 19:27:02.058953,Pat
9,pbkdf2_sha256$320000$5MCD6xrbYmoG6r2dSFT13k$at8d3b08PfGi2I2OJIYv1RF7idMLkLimkHPQjZiR8jM=,,0,Ross,Taylor,ross@bbltestdjango.com,0,1,2022-04-10 19:30:41.610035,Pat
10,pbkdf2_sha256$320000$0sINEZONbOGjSN8vtgcj1y$kVWMUgo02vLA8KmR+rTf5iOZLHCiB02e1cYrsxs58FA=,,0,Brett,Lee,brett@bbltestdjango.com,0,1,2022-04-10 19:31:06.935282,Brett
11,pbkdf2_sha256$320000$Cy11QsCFTRU27oVcC7elq6$lrsh/V8bAbt2KHuyG1IGAOIBCyBp3XsPxXjrr+LD9t8=,,0,Michel,Lee,Michel@bbltestdjango.com,0,1,2022-04-10 19:31:32.525161,Michel
12,pbkdf2_sha256$320000$gOWFcq0vq3Db4uDkKSzmDY$5rSIG98jM8iu2nc2PMKEHt58L2/YlLtduvxq8YN1ggM=,,0,Shane,Law,Shane@bbltestdjango.com,0,1,2022-04-10 19:32:00.112085,Shane
13,pbkdf2_sha256$320000$7BTbp2DTT4dCrFc96Do3el$1BPPrANk8Ckzku003np/GaE28HIy4XAe7zbfRFerZ8s=,,0,Nigel,Law,Nigel@bbltestdjango.com,0,1,2022-04-10 19:32:36.364206,Nigel
14,pbkdf2_sha256$320000$7iSPGkwxd4JEpoSnYM9eHW$SEkXSxt7bf/I2Lz/X8r7Sp1t17stkHwlttuxGCuFraQ=,,0,Luke,Law,Luke@bbltestdjango.com,0,1,2022-04-10 19:32:56.675130,Luke
